"","id.x","xcoord","ycoord","NM_MU","IVS_2000","IVS_INF_00","IVS_CPH_00","IVS_REN_00","IVS_2010","IVS_INF_10","IVS_CPH_10","IVS_REN_10","MASC","FEM","POP","DOM_OCU","Dens_Dom","Dens_hab","ocup_2000","ocup_2010","ocup_2018","Pop_Urbana","Pop_Rural","Pop_Total","Area","VTN_MED","URB_RURAL"
"81","F1117",-36.057731758485,-8.00969053315934,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"82","F1119",-36.0576666899731,-8.00968028612086,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"83","F1120",-36.0576277296346,-8.00968453925994,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"84","F1121",-36.0575931649611,-8.00968487017192,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"85","F1122",-36.0575869520512,-8.00947078408699,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"86","F1123",-36.057640938132,-8.00947500066751,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"87","F1124",-36.0576908633676,-8.00947845111163,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"88","F1125",-36.0577246724848,-8.00947997469132,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"89","F1126",-36.0577607750895,-8.00948116877087,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"90","F1127",-36.0578334478365,-8.00945208097414,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
"91","F1128",-36.0578449379467,-8.00933863581052,"TORITAMA",0.428,0.069,0.748,0.466,0.362,0.112,0.595,0.379,258,296,554,168,0.004,0.013822168080887,1,0,0,34125,1429,35554,346,5105.25,1
